label_no,huid,item_name,category,purity,gross_weight,net_weight,slab_label,product_category,market_demand_per_slab,market_demand_per_category,predicted_potential_sales
LBL00033,H550955,RING LBL00033,RING,916,1.674,1.286,0–2 GM,GOLD RINGS,3.0,220.66666666666666,0.0
LBL00034,H265725,BANGLE LBL00034,BANGLE,750,30.733,30.526,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2005393.0612428244
LBL00035,H684413,BANGLE LBL00035,BANGLE,916,44.288,43.824,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,3568398.156466426
LBL00036,H293079,CHAIN LBL00036,CHAIN,916,31.068,31.051,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,2498142.2648309455
LBL00037,H862398,NECKLACE LBL00037,NECKLACE,585,66.907,66.509,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,3483802.6615465237
LBL00038,H534152,CHAIN LBL00038,CHAIN,916,35.89,35.478,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,2869586.4039652236
LBL00039,H564523,PENDANT LBL00039,PENDANT,916,1.482,1.099,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,0.0
LBL00040,H916953,BANGLE LBL00040,BANGLE,916,33.668,33.194,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2677648.3756889906
LBL00041,H237935,RING LBL00041,RING,916,8.837,8.59,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,614303.8037668564
LBL00042,H899484,RING LBL00042,RING,585,6.824,6.696,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,283332.12128532026
LBL00043,H694587,PENDANT LBL00043,PENDANT,916,11.657,11.354,10–20 GM,GOLD NECKLACE,125.33333333333333,235.33333333333334,846931.8394243666
LBL00044,H343461,EARRING LBL00044,EARRING,585,7.534,7.106,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,305852.39758968615
LBL00045,H476712,CHAIN LBL00045,CHAIN,916,37.99,37.63,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,3047698.8425622596
LBL00046,H240600,RING LBL00046,RING,916,7.735,7.265,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,502706.3924057759
LBL00047,H591534,CHAIN LBL00047,CHAIN,585,50.06,49.754,50+ GM,GOLD CHAINS,5.333333333333333,223.33333333333334,2588679.295489249
LBL00048,H993522,RING LBL00048,RING,916,5.301,5.234,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,333486.53780313174
LBL00049,H596864,PENDANT LBL00049,PENDANT,585,7.178,7.028,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,299743.732975876
LBL00050,H302647,BANGLE LBL00050,BANGLE,916,22.772,22.451,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1776995.7012616876
LBL00051,H528436,PENDANT LBL00051,PENDANT,916,5.472,5.14,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,325438.2930514868
LBL00052,H533108,PENDANT LBL00052,PENDANT,916,7.851,7.414,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,515967.066171838
LBL00053,H894586,CHAIN LBL00053,CHAIN,916,23.089,22.846,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,1810983.1711025236
LBL00054,H285679,RING LBL00054,RING,916,6.23,5.785,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,378262.8682143711
LBL00055,H613742,RING LBL00055,RING,916,3.24,3.035,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,146804.84515675524
LBL00056,H358771,EARRING LBL00056,EARRING,750,11.741,11.373,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,690797.2313880136
LBL00057,H913920,PENDANT LBL00057,PENDANT,585,9.726,9.45,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,430939.8252146489
LBL00058,H871051,BANGLE LBL00058,BANGLE,750,10.133,9.668,5–15 GM,GOLD BRACELET,217.0,276.3333333333333,573075.6373435198
LBL00059,H513296,RING LBL00059,RING,585,8.524,8.314,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,369977.2048304984
LBL00060,H772550,CHAIN LBL00060,CHAIN,585,17.535,17.416,10–20 GM,GOLD CHAINS,5.666666666666667,223.33333333333334,858095.8839371719
LBL00061,H214626,EARRING LBL00061,EARRING,916,10.654,10.25,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,754759.5889957712
LBL00062,H967182,BANGLE LBL00062,BANGLE,916,37.608,37.513,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,3039356.2205918226
LBL00063,H643899,NECKLACE LBL00063,NECKLACE,916,9.738,9.582,0–10 GM,GOLD NECKLACE,388.0,176.0,697624.5228379043
LBL00064,H870881,CHAIN LBL00064,CHAIN,750,6.357,5.986,5–10 GM,GOLD CHAINS,3.0,223.33333333333334,321031.8110474302
LBL00065,H506216,BRACELET LBL00065,BRACELET,585,22.536,22.176,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1112717.2482958415
LBL00066,H299072,BRACELET LBL00066,BRACELET,916,10.776,10.628,5–15 GM,GOLD BRACELET,217.0,184.33333333333334,784920.2423809336
LBL00067,H517375,PENDANT LBL00067,PENDANT,585,5.384,5.189,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,200809.7525128335
LBL00068,H583757,BRACELET LBL00068,BRACELET,916,25.44,24.936,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1985488.9519881415
LBL00069,H408721,EARRING LBL00069,EARRING,750,9.006,8.692,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,505612.33066931536
LBL00070,H249149,NECKLACE LBL00070,NECKLACE,916,58.732,58.25,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,4775614.775259904
LBL00071,H194834,EARRING LBL00071,EARRING,916,9.556,9.174,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,663157.7451722007
LBL00072,H288503,BANGLE LBL00072,BANGLE,585,2.454,2.158,0–5 GM,GOLD BRACELET,5.0,276.3333333333333,41749.381929756346
LBL00073,H512160,BRACELET LBL00073,BRACELET,585,7.021,6.623,5–15 GM,GOLD BRACELET,217.0,184.33333333333334,279410.87863880617
LBL00074,H572788,NECKLACE LBL00074,NECKLACE,916,29.24,29.01,20–40 GM,GOLD NECKLACE,139.0,176.0,2326225.7233076873
LBL00075,H575718,RING LBL00075,RING,916,2.27,2.069,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,65723.51150231191
LBL00076,H194560,PENDANT LBL00076,PENDANT,916,11.851,11.306,10–20 GM,GOLD NECKLACE,125.33333333333333,235.33333333333334,843068.7182502851
LBL00077,H825318,BRACELET LBL00077,BRACELET,916,32.413,32.33,30+ GM,GOLD BRACELET,18.666666666666668,184.33333333333334,2604618.25748635
LBL00078,H195620,PENDANT LBL00078,PENDANT,916,10.25,9.97,10–20 GM,GOLD NECKLACE,125.33333333333333,235.33333333333334,730043.1587369815
LBL00079,H764873,CHAIN LBL00079,CHAIN,750,12.023,11.79,10–20 GM,GOLD CHAINS,5.666666666666667,223.33333333333334,719760.8818294194
LBL00080,H649262,RING LBL00080,RING,750,2.754,2.464,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,76564.54681672467
LBL00081,H741804,NECKLACE LBL00081,NECKLACE,916,21.01,20.753,20–40 GM,GOLD NECKLACE,139.0,176.0,1634526.546505785
LBL00082,H677079,CHAIN LBL00082,CHAIN,916,27.248,26.791,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,2141536.521925321
LBL00083,H905579,CHAIN LBL00083,CHAIN,916,9.71,9.415,5–10 GM,GOLD CHAINS,3.0,223.33333333333334,684371.7762755367
LBL00084,H692960,RING LBL00084,RING,750,5.506,5.306,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,273905.06742863345
LBL00085,H251631,CHAIN LBL00085,CHAIN,916,54.231,53.644,50+ GM,GOLD CHAINS,5.333333333333333,223.33333333333334,4390575.9382704
LBL00086,H539963,RING LBL00086,RING,916,8.478,8.183,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,580845.8802930247
LBL00087,H865630,RING LBL00087,RING,916,1.146,0.635,0–2 GM,GOLD RINGS,3.0,220.66666666666666,0.0
LBL00088,H756883,BANGLE LBL00088,BANGLE,585,3.964,3.77,0–5 GM,GOLD BRACELET,5.0,276.3333333333333,127369.99557585362
LBL00089,H237962,PENDANT LBL00089,PENDANT,916,1.798,1.648,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,31295.45186792544
LBL00090,H752801,BANGLE LBL00090,BANGLE,916,32.247,31.72,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2553147.694017475
LBL00091,H580921,RING LBL00091,RING,585,9.31,8.711,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,391432.7141151481
LBL00092,H669902,EARRING LBL00092,EARRING,916,11.102,10.966,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,814595.5151070717
LBL00093,H617437,EARRING LBL00093,EARRING,750,13.3,13.02,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,804219.6466731883
LBL00094,H717466,NECKLACE LBL00094,NECKLACE,916,64.114,63.878,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,5247379.345770624
LBL00095,H530074,CHAIN LBL00095,CHAIN,585,16.376,16.036,10–20 GM,GOLD CHAINS,5.666666666666667,223.33333333333334,784635.3026124213
LBL00096,H730421,EARRING LBL00096,EARRING,916,11.971,11.618,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,868562.4905769636
LBL00097,H673929,RING LBL00097,RING,916,2.449,1.95,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,55112.87177926896
LBL00098,H759172,BANGLE LBL00098,BANGLE,916,36.586,36.203,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2927235.882534513
LBL00099,H293818,BRACELET LBL00099,BRACELET,916,40.277,39.948,30+ GM,GOLD BRACELET,18.666666666666668,184.33333333333334,3241924.4542660876
LBL00100,H785010,CHAIN LBL00100,CHAIN,916,54.122,53.758,50+ GM,GOLD CHAINS,5.333333333333333,223.33333333333334,4400773.419886533
LBL00101,H252436,NECKLACE LBL00101,NECKLACE,916,47.957,47.54,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,3878416.5344382282
LBL00102,H978721,BANGLE LBL00102,BANGLE,916,30.884,30.814,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2477059.071337203
LBL00103,H191962,EARRING LBL00103,EARRING,585,3.79,3.436,2–5 GM,GOLD EARRING,6.666666666666667,265.3333333333333,104823.26710718323
LBL00104,H537211,EARRING LBL00104,EARRING,916,13.842,13.478,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,1025298.8500655757
LBL00105,H804737,PENDANT LBL00105,PENDANT,585,9.656,9.497,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,433262.83200819377
LBL00106,H793029,EARRING LBL00106,EARRING,916,10.05,9.902,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,725505.9439006513
LBL00107,H885734,NECKLACE LBL00107,NECKLACE,750,14.04,13.718,10–20 GM,GOLD NECKLACE,125.33333333333333,176.0,851832.7545906454
LBL00108,H197649,BRACELET LBL00108,BRACELET,916,19.342,19.018,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1489286.1570128126
LBL00109,H486473,NECKLACE LBL00109,NECKLACE,916,20.403,19.81,20–40 GM,GOLD NECKLACE,139.0,176.0,1554870.822643734
LBL00110,H895284,EARRING LBL00110,EARRING,750,13.046,12.81,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,790014.0448361353
LBL00111,H168079,NECKLACE LBL00111,NECKLACE,916,60.386,60.3,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,4946379.582987839
LBL00112,H241081,RING LBL00112,RING,916,6.906,6.327,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,425475.88921383204
LBL00113,H445200,EARRING LBL00113,EARRING,916,10.873,10.616,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,785330.6531860093
LBL00114,H650131,BANGLE LBL00114,BANGLE,585,39.36,39.073,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2016922.6806632765
LBL00115,H741784,CHAIN LBL00115,CHAIN,916,41.652,41.097,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,3340009.2192381453
LBL00116,H699121,CHAIN LBL00116,CHAIN,750,46.861,46.676,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,3113651.8541437783
LBL00117,H607157,RING LBL00117,RING,750,2.156,2.123,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,53321.60704714645
LBL00118,H738419,EARRING LBL00118,EARRING,750,11.386,11.304,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,685986.9807993411
LBL00119,H650912,PENDANT LBL00119,PENDANT,916,8.817,8.619,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,617565.1453207212
LBL00120,H744129,EARRING LBL00120,EARRING,916,10.296,9.767,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,714586.1319714282
LBL00121,H864605,BANGLE LBL00121,BANGLE,585,44.502,44.111,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2286698.224056513
LBL00122,H947228,RING LBL00122,RING,916,9.981,9.636,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,701925.8524863396
LBL00123,H344026,CHAIN LBL00123,CHAIN,916,54.563,54.216,50+ GM,GOLD CHAINS,5.333333333333333,223.33333333333334,4435822.646698616
LBL00124,H101657,RING LBL00124,RING,750,6.702,6.668,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,367457.686130391
LBL00125,H587467,BRACELET LBL00125,BRACELET,916,32.428,32.215,30+ GM,GOLD BRACELET,18.666666666666668,184.33333333333334,2591666.392638389
LBL00126,H938403,BANGLE LBL00126,BANGLE,750,26.752,26.291,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1714991.2260480062
LBL00127,H147702,BRACELET LBL00127,BRACELET,916,9.618,9.395,5–15 GM,GOLD BRACELET,217.0,184.33333333333334,682510.515573336
LBL00128,H687638,EARRING LBL00128,EARRING,916,4.763,4.452,2–5 GM,GOLD EARRING,6.666666666666667,265.3333333333333,264741.1171289756
LBL00129,H771736,BANGLE LBL00129,BANGLE,750,24.549,24.378,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1583589.7563736732
LBL00130,H366776,EARRING LBL00130,EARRING,916,5.166,5.07,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,320323.9844542703
LBL00131,H414870,NECKLACE LBL00131,NECKLACE,585,10.552,10.148,10–20 GM,GOLD NECKLACE,125.33333333333333,176.0,468958.18252229184
LBL00132,H439658,EARRING LBL00132,EARRING,750,10.555,10.381,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,623155.656495979
LBL00133,H819150,EARRING LBL00133,EARRING,916,7.756,7.598,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,531788.1108270618
LBL00134,H515287,BANGLE LBL00134,BANGLE,916,43.795,43.515,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,3542404.551373154
LBL00135,H303440,PENDANT LBL00135,PENDANT,916,11.01,10.61,10–20 GM,GOLD NECKLACE,125.33333333333333,235.33333333333334,783714.7839918586
LBL00136,H805139,EARRING LBL00136,EARRING,916,6.054,5.675,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,371191.1035748439
LBL00137,H935981,BANGLE LBL00137,BANGLE,585,43.667,43.139,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2234299.830780326
LBL00138,H604884,PENDANT LBL00138,PENDANT,916,7.459,6.938,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,476813.60974636214
LBL00139,H663051,RING LBL00139,RING,916,5.139,4.79,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,295981.260478099
LBL00140,H922072,PENDANT LBL00140,PENDANT,750,5.171,4.936,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,247570.33033597126
LBL00141,H975671,EARRING LBL00141,EARRING,585,15.305,15.015,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,729460.3807322138
LBL00142,H692385,EARRING LBL00142,EARRING,916,9.826,9.484,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,690285.5851079829
LBL00143,H661916,EARRING LBL00143,EARRING,916,7.302,7.115,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,491758.50836322043
LBL00144,H705445,EARRING LBL00144,EARRING,916,7.59,7.249,5–10 GM,GOLD EARRING,12.666666666666666,265.3333333333333,502854.3128555797
LBL00145,H169429,EARRING LBL00145,EARRING,916,14.148,13.778,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,1050344.0366714713
LBL00146,H981578,BANGLE LBL00146,BANGLE,916,2.829,2.716,0–5 GM,GOLD BRACELET,5.0,276.3333333333333,123561.03592552425
LBL00147,H493468,NECKLACE LBL00147,NECKLACE,916,10.202,9.92,10–20 GM,GOLD NECKLACE,125.33333333333333,176.0,725217.9711723714
LBL00148,H698717,CHAIN LBL00148,CHAIN,750,57.128,57.02,50+ GM,GOLD CHAINS,5.333333333333333,223.33333333333334,3823249.1138738804
LBL00149,H724103,CHAIN LBL00149,CHAIN,750,15.697,15.348,10–20 GM,GOLD CHAINS,5.666666666666667,223.33333333333334,963214.4471186409
LBL00150,H839525,CHAIN LBL00150,CHAIN,916,15.494,15.331,10–20 GM,GOLD CHAINS,5.666666666666667,223.33333333333334,1181139.4938294792
LBL00151,H384685,BANGLE LBL00151,BANGLE,916,31.975,31.574,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2540875.56437989
LBL00152,H621199,PENDANT LBL00152,PENDANT,916,9.672,9.454,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,687546.9328343966
LBL00153,H573858,CHAIN LBL00153,CHAIN,916,60.12,59.934,50+ GM,GOLD CHAINS,5.333333333333333,223.33333333333334,4917094.054391356
LBL00154,H650607,EARRING LBL00154,EARRING,916,11.099,10.67,10+ GM,GOLD EARRING,19.666666666666668,265.3333333333333,789985.8172311634
LBL00155,H217683,PENDANT LBL00155,PENDANT,750,3.538,3.242,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,132399.6866569047
LBL00156,H915572,NECKLACE LBL00156,NECKLACE,585,49.968,49.776,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,2585209.668066892
LBL00157,H565330,BRACELET LBL00157,BRACELET,750,16.886,16.756,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1059714.1752541058
LBL00158,H937838,NECKLACE LBL00158,NECKLACE,916,50.707,50.539,40+ GM,GOLD NECKLACE,9.333333333333334,176.0,4129208.551288776
LBL00159,H261562,EARRING LBL00159,EARRING,750,2.541,2.237,2–5 GM,GOLD EARRING,6.666666666666667,265.3333333333333,59221.53953757859
LBL00160,H606957,PENDANT LBL00160,PENDANT,585,5.967,5.391,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,209862.30264822167
LBL00161,H913205,RING LBL00161,RING,750,9.71,9.328,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,549523.5528621059
LBL00162,H906859,BANGLE LBL00162,BANGLE,585,39.183,38.945,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,2010176.6578855123
LBL00163,H809589,BANGLE LBL00163,BANGLE,750,15.444,15.072,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,945230.7130563378
LBL00164,H859767,BANGLE LBL00164,BANGLE,585,14.599,14.274,5–15 GM,GOLD BRACELET,217.0,276.3333333333333,689486.5110982612
LBL00165,H506415,BANGLE LBL00165,BANGLE,916,27.467,27.188,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,2174144.870164757
LBL00166,H104309,CHAIN LBL00166,CHAIN,916,21.98,21.44,20–50 GM,GOLD CHAINS,14.333333333333334,223.33333333333334,1693163.7859662275
LBL00167,H820426,NECKLACE LBL00167,NECKLACE,750,30.997,30.84,20–40 GM,GOLD NECKLACE,139.0,176.0,2026299.3161039203
LBL00168,H589554,PENDANT LBL00168,PENDANT,585,6.998,6.618,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,279533.47972952615
LBL00169,H645865,RING LBL00169,RING,916,7.454,7.098,5–10 GM,GOLD RINGS,19.666666666666668,220.66666666666666,489124.50555496063
LBL00170,H705615,BANGLE LBL00170,BANGLE,916,24.852,24.493,15–30 GM,GOLD BRACELET,183.66666666666666,276.3333333333333,1948442.9509677803
LBL00171,H436467,EARRING LBL00171,EARRING,750,2.577,2.316,2–5 GM,GOLD EARRING,6.666666666666667,265.3333333333333,64655.2523716017
LBL00172,H400487,PENDANT LBL00172,PENDANT,916,8.015,7.765,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,545629.8312430577
LBL00173,H434652,BRACELET LBL00173,BRACELET,916,19.598,19.191,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1503716.9945309584
LBL00174,H385898,NECKLACE LBL00174,NECKLACE,916,38.876,38.611,20–40 GM,GOLD NECKLACE,139.0,176.0,3130885.6312883147
LBL00175,H386929,RING LBL00175,RING,916,2.534,2.394,2–5 GM,GOLD RINGS,7.333333333333333,220.66666666666666,93187.6422604387
LBL00176,H753205,BRACELET LBL00176,BRACELET,585,28.818,28.392,15–30 GM,GOLD BRACELET,183.66666666666666,184.33333333333334,1444973.0853977837
LBL00177,H316612,PENDANT LBL00177,PENDANT,916,8.608,8.569,0–10 GM,GOLD NECKLACE,388.0,235.33333333333334,612943.2765174878
LBL00178,H676051,BRACELET LBL00178,BRACELET,916,39.298,38.88,30+ GM,GOLD BRACELET,18.666666666666668,184.33333333333334,3154029.4982877364
LBL00179,H248433,NECKLACE LBL00179,NECKLACE,916,17.902,17.387,10–20 GM,GOLD NECKLACE,125.33333333333333,176.0,1351981.7589490176
LBL00180,H356717,BRACELET LBL00180,BRACELET,916,5.726,5.386,5–15 GM,GOLD BRACELET,217.0,184.33333333333334,346581.19180444535
LBL00181,H426503,NECKLACE LBL00181,NECKLACE,750,14.229,14.115,10–20 GM,GOLD NECKLACE,125.33333333333333,176.0,878820.7582060427
LBL00182,H565198,EARRING LBL00182,EARRING,916,1.403,1.345,0–2 GM,GOLD EARRING,1.0,265.3333333333333,3724.2678603489476
LBL00183,H130401,EARRING LBL00183,EARRING,916,3.758,3.374,2–5 GM,GOLD EARRING,6.666666666666667,265.3333333333333,172732.4506222364
LBL00184,H211072,BANGLE LBL00184,BANGLE,916,40.331,40.055,30+ GM,GOLD BRACELET,18.666666666666668,276.3333333333333,3252288.905071654
